,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nick Suzuki,MON,C,32,6,9,15,-3,4,49,0,2,2,0,0,24,12
Dylan Strome,CHI,C,27,6,14,20,9,10,38,0,1,3,0,0,11,10
Jakub Voracek,PHI,LW,31,6,16,22,5,17,55,1,2,5,0,0,12,9
Tyler Seguin,DAL,C,32,6,17,23,2,14,115,2,0,5,0,0,44,14
Colton Sissons,NSH,RW,29,6,6,12,0,8,30,2,0,0,1,0,48,17
Drew Doughty,LA,D,32,6,14,20,-8,10,74,2,4,4,0,1,64,51
Zach Werenski,CLS,D,26,6,10,16,-6,8,65,1,2,5,0,0,18,29
Kevin Fiala,MIN,LW,26,6,10,16,2,16,51,0,1,3,0,0,17,9
Artturi Lehkonen,MON,LW,32,6,7,13,5,14,65,1,0,0,0,0,66,19
Yanni Gourde,TB,LW,29,6,9,15,2,21,50,3,1,4,0,0,26,11
Martin Necas,CAR,C,27,6,10,16,-2,4,38,2,2,0,0,0,26,9
Luke Kunin,MIN,C,30,6,4,10,-14,21,64,0,0,0,0,0,31,27
Brandon Tanev,PIT,LW,31,6,10,16,4,6,42,1,0,1,2,0,118,26
Andrew Mangiapane,CGY,LW,31,6,4,10,3,10,36,1,0,0,0,0,32,8
Lars Eller,WAS,C,33,6,10,16,7,20,78,0,1,1,1,0,28,20
Filip Hronek,DET,D,30,6,8,14,-13,17,64,0,1,2,0,0,38,36
Jesper Bratt,NJ,LW,25,6,3,9,-9,2,29,1,0,0,0,0,10,8
Kaapo Kakko,NYR,RW,28,6,8,14,-11,6,54,1,2,7,0,0,10,4
Barclay Goodrow,SJ,LW,33,6,7,13,2,46,47,2,0,0,0,1,66,30
James van Riemsdyk,PHI,LW,31,6,8,14,5,4,79,0,1,0,0,0,14,6
Jamie Benn,DAL,C,32,6,9,15,-2,12,78,3,3,2,0,0,75,32
Lawson Crouse,ARI,LW,29,6,3,9,-1,15,38,1,0,0,0,0,86,12
Andreas Johnsson,TOR,LW,30,6,10,16,2,14,66,1,4,1,0,0,30,13
Zach Hyman,TOR,RW,13,6,1,7,3,2,30,1,1,0,1,0,11,8
Matt Calvert,COL,LW,24,6,11,17,8,21,45,1,0,0,2,0,27,11
Taylor Hall,NJ,LW,30,6,19,25,-11,20,109,0,2,10,0,0,25,9
David Krejci,BOS,C,26,6,15,21,13,6,39,2,2,4,0,0,23,15
Michael Grabner,ARI,RW,31,6,3,9,6,6,43,0,0,0,1,0,16,4
Patric Hornqvist,PIT,RW,20,6,5,11,3,17,50,1,1,1,0,0,50,20
Charlie Coyle,BOS,C,32,6,10,16,1,10,64,1,0,2,0,0,38,13
Brent Burns,SJ,D,33,5,16,21,-21,26,90,0,2,7,0,1,37,38
Nikita Gusev,NJ,LW,27,5,9,14,-6,12,62,0,0,2,0,0,7,4
Valeri Nichushkin,COL,LW,27,5,4,9,9,5,52,1,0,0,1,0,31,11
Adam Fox,NYR,D,30,5,11,16,4,10,49,2,1,7,0,0,10,40
Andrew Copp,WPG,C,31,5,9,14,2,6,63,1,0,0,0,1,31,12
Alex Kerfoot,TOR,C,27,5,4,9,-2,20,44,1,1,1,0,0,26,20
Ryan Johansen,NSH,C,29,5,13,18,-3,33,47,1,2,6,0,0,21,13
Andreas Athanasiou,DET,C,29,5,10,15,-33,6,70,0,1,2,0,0,19,12
